voltage,current,time,date
4184,0213,13:27:40,26/02/25
4184,0211,13:27:50,26/02/25
4185,0211,13:28:00,26/02/25
4184,0210,13:28:10,26/02/25
4183,0210,13:28:20,26/02/25
4184,0208,13:28:30,26/02/25
4183,0210,13:28:40,26/02/25
4184,0210,13:28:50,26/02/25
4182,0208,13:29:00,26/02/25
4184,0209,13:29:10,26/02/25
4183,0208,13:29:20,26/02/25
4182,0207,13:29:30,26/02/25
4184,0207,13:29:40,26/02/25
4183,0207,13:29:50,26/02/25
4182,0207,13:30:00,26/02/25
4183,0206,13:30:10,26/02/25
4182,0206,13:30:20,26/02/25
4185,0208,13:30:30,26/02/25
4182,0206,13:30:40,26/02/25
4184,0207,13:30:50,26/02/25
4185,0206,13:31:00,26/02/25
4184,0207,13:31:10,26/02/25
4184,0204,13:31:20,26/02/25
4186,0206,13:31:30,26/02/25
4182,0204,13:31:40,26/02/25
4182,0196,13:31:50,26/02/25
4184,0203,13:32:00,26/02/25
4183,0202,13:32:10,26/02/25
4184,0202,13:32:20,26/02/25
4184,0202,13:32:30,26/02/25
4182,0201,13:32:40,26/02/25
4185,0203,13:32:50,26/02/25
4186,0202,13:33:00,26/02/25
4183,0201,13:33:10,26/02/25
4184,0202,13:33:20,26/02/25
4184,0201,13:33:30,26/02/25
4183,0200,13:33:40,26/02/25
4184,0200,13:33:50,26/02/25
4184,0199,13:34:00,26/02/25
4182,0199,13:34:10,26/02/25
4182,0200,13:34:20,26/02/25
4183,0201,13:34:30,26/02/25
4183,0201,13:34:40,26/02/25
4185,0200,13:34:50,26/02/25
4183,0199,13:35:00,26/02/25
4182,0198,13:35:10,26/02/25
4182,0199,13:35:20,26/02/25
4184,0198,13:35:30,26/02/25
4182,0199,13:35:40,26/02/25
4182,0199,13:35:50,26/02/25
4183,0197,13:36:00,26/02/25
4183,0196,13:36:10,26/02/25
4182,0198,13:36:20,26/02/25
4182,0198,13:36:30,26/02/25
4182,0197,13:36:40,26/02/25
4183,0196,13:36:50,26/02/25
4182,0196,13:37:00,26/02/25
4184,0196,13:37:10,26/02/25
4183,0195,13:37:20,26/02/25
4181,0195,13:37:30,26/02/25
4182,0195,13:37:40,26/02/25
4183,0196,13:37:50,26/02/25
4183,0196,13:38:00,26/02/25
4184,0195,13:38:10,26/02/25
4182,0195,13:38:20,26/02/25
4181,0195,13:38:30,26/02/25
4183,0196,13:38:40,26/02/25
4184,0195,13:38:50,26/02/25
4179,0193,13:39:00,26/02/25
4185,0195,13:39:10,26/02/25
4184,0193,13:39:20,26/02/25
4183,0194,13:39:30,26/02/25
4181,0193,13:39:40,26/02/25
4183,0192,13:39:50,26/02/25
4183,0192,13:40:00,26/02/25
4181,0192,13:40:10,26/02/25
