voltage,current,time,date
3746,0170,12:47:43,19/02/25
4175,0730,12:47:52,19/02/25
4176,0670,12:48:02,19/02/25
4175,0640,12:48:12,19/02/25
4177,0610,12:48:22,19/02/25
4175,0600,12:48:32,19/02/25
4178,0580,12:48:42,19/02/25
4180,0580,12:48:52,19/02/25
4179,0570,12:49:02,19/02/25
4179,0560,12:49:12,19/02/25
4180,0560,12:49:22,19/02/25
4178,0560,12:49:32,19/02/25
4178,0550,12:49:42,19/02/25
4179,0550,12:49:52,19/02/25
4179,0560,12:50:02,19/02/25
4179,0550,12:50:12,19/02/25
4180,0550,12:50:22,19/02/25
4179,0550,12:50:32,19/02/25
4179,0550,12:50:42,19/02/25
4178,0540,12:50:52,19/02/25
4179,0550,12:51:02,19/02/25
4179,0540,12:51:12,19/02/25
4179,0530,12:51:22,19/02/25
4178,0540,12:51:32,19/02/25
4178,0530,12:51:42,19/02/25
4179,0530,12:51:52,19/02/25
4180,0520,12:52:02,19/02/25
4179,0520,12:52:12,19/02/25
4179,0520,12:52:22,19/02/25
4178,0510,12:52:32,19/02/25
4179,0510,12:52:42,19/02/25
4179,0500,12:52:52,19/02/25
4179,0500,12:53:02,19/02/25
4179,0490,12:53:12,19/02/25
4179,0490,12:53:22,19/02/25
4178,0490,12:53:32,19/02/25
4179,0480,12:53:42,19/02/25
4179,0480,12:53:52,19/02/25
4178,0470,12:54:02,19/02/25
4180,0470,12:54:12,19/02/25
4180,0470,12:54:22,19/02/25
4181,0470,12:54:32,19/02/25
4179,0460,12:54:42,19/02/25
4179,0450,12:54:52,19/02/25
4179,0450,12:55:02,19/02/25
4178,0440,12:55:12,19/02/25
4180,0440,12:55:22,19/02/25
4178,0440,12:55:32,19/02/25
4181,0430,12:55:42,19/02/25
4179,0430,12:55:52,19/02/25
4179,0430,12:56:02,19/02/25
4180,0420,12:56:12,19/02/25
4181,0420,12:56:22,19/02/25
4179,0420,12:56:32,19/02/25
4180,0410,12:56:42,19/02/25
4179,0410,12:56:52,19/02/25
4179,0400,12:57:02,19/02/25
4183,0400,12:57:12,19/02/25
4180,0400,12:57:22,19/02/25
4179,0390,12:57:32,19/02/25
4179,0390,12:57:42,19/02/25
4179,0390,12:57:52,19/02/25
4181,0380,12:58:02,19/02/25
4182,0390,12:58:12,19/02/25
4179,0380,12:58:22,19/02/25
4180,0380,12:58:32,19/02/25
4179,0370,12:58:42,19/02/25
4180,0370,12:58:52,19/02/25
4180,0370,12:59:02,19/02/25
4179,0360,12:59:12,19/02/25
4181,0360,12:59:22,19/02/25
4181,0360,12:59:32,19/02/25
4181,0350,12:59:42,19/02/25
4181,0350,12:59:52,19/02/25
4183,0350,13:00:02,19/02/25
4182,0350,13:00:12,19/02/25
4183,0340,13:00:22,19/02/25
4181,0340,13:00:32,19/02/25
4181,0340,13:00:42,19/02/25
4181,0340,13:00:52,19/02/25
4182,0330,13:01:02,19/02/25
4180,0330,13:01:12,19/02/25
4181,0330,13:01:22,19/02/25
4182,0330,13:01:32,19/02/25
4180,0320,13:01:42,19/02/25
4182,0320,13:01:52,19/02/25
4179,0320,13:02:02,19/02/25
4181,0310,13:02:12,19/02/25
4179,0310,13:02:22,19/02/25
4181,0310,13:02:32,19/02/25
4181,0310,13:02:42,19/02/25
4180,0310,13:02:52,19/02/25
4180,0300,13:03:02,19/02/25
4182,0300,13:03:12,19/02/25
4181,0300,13:03:22,19/02/25
4181,0290,13:03:32,19/02/25
4181,0290,13:03:42,19/02/25
4180,0290,13:03:52,19/02/25
4179,0290,13:04:02,19/02/25
4182,0290,13:04:12,19/02/25
4184,0290,13:04:22,19/02/25
4182,0280,13:04:32,19/02/25
4183,0270,13:04:42,19/02/25
4182,0280,13:04:52,19/02/25
4183,0270,13:05:02,19/02/25
4184,0270,13:05:12,19/02/25
4184,0270,13:05:22,19/02/25
4183,0270,13:05:32,19/02/25
4183,0260,13:05:42,19/02/25
4183,0260,13:05:52,19/02/25
4183,0260,13:06:02,19/02/25
4184,0260,13:06:12,19/02/25
4182,0260,13:06:22,19/02/25
4184,0260,13:06:32,19/02/25
4182,0250,13:06:42,19/02/25
4182,0250,13:06:52,19/02/25
4182,0250,13:07:02,19/02/25
4183,0250,13:07:12,19/02/25
4183,0240,13:07:22,19/02/25
4181,0240,13:07:32,19/02/25
4184,0240,13:07:42,19/02/25
4185,0240,13:07:52,19/02/25
4183,0230,13:08:02,19/02/25
4184,0230,13:08:12,19/02/25
4184,0230,13:08:22,19/02/25
4183,0230,13:08:32,19/02/25
4182,0230,13:08:42,19/02/25
4181,0220,13:08:52,19/02/25
4183,0220,13:09:02,19/02/25
4184,0220,13:09:12,19/02/25
4181,0210,13:09:22,19/02/25
4183,0220,13:09:32,19/02/25
4183,0210,13:09:42,19/02/25
4182,0210,13:09:52,19/02/25
4183,0210,13:10:02,19/02/25
4182,0210,13:10:12,19/02/25
4183,0200,13:10:22,19/02/25
4183,0200,13:10:32,19/02/25
4181,0200,13:10:42,19/02/25
4183,0200,13:10:52,19/02/25
4184,0200,13:11:02,19/02/25
4181,0190,13:11:12,19/02/25
4183,0190,13:11:22,19/02/25
4182,0190,13:11:32,19/02/25
4182,0190,13:11:42,19/02/25
4181,0190,13:11:52,19/02/25
4183,0190,13:12:02,19/02/25
4180,0190,13:12:12,19/02/25
4183,0190,13:12:22,19/02/25
4182,0180,13:12:32,19/02/25
